material1,material2,pred_temp,weights
Er3+,F1-,[23.78025932],[0.25 0.75]
Ho3+,F1-,[23.72147081],[0.25 0.75]
H1+,P2-,[23.69107683],[0.66666667 0.33333333]
Te6+,I1-,[23.65910698],[0.14285714 0.85714286]
Te2+,I1-,[23.53569826],[0.33333333 0.66666667]
I1+,Te2-,[23.53569826],[0.66666667 0.33333333]
Te4+,I1-,[23.53207074],[0.2 0.8]
Po4+,S1-,[23.4099404],[0.2 0.8]
Ag1+,Se2-,[23.30874755],[0.66666667 0.33333333]
Tb3+,Br1-,[23.30283119],[0.25 0.75]
Br7+,N3-,[23.24580748],[0.3 0.7]
Xe6+,N3-,[23.1805765],[0.33333333 0.66666667]
P5+,H1-,[23.1688126],[0.16666667 0.83333333]
P5+,B1-,[22.90680484],[0.16666667 0.83333333]
Br7+,N2-,[22.82302168],[0.22222222 0.77777778]
Ce4+,F1-,[22.82128241],[0.2 0.8]
H1+,P3-,[22.82104845],[0.75 0.25]
P3+,H1-,[22.82104845],[0.25 0.75]
I7+,N3-,[22.80551319],[0.3 0.7]
Bi3+,F1-,[22.78389516],[0.25 0.75]
I5+,C2-,[22.75212369],[0.28571429 0.71428571]
Xe6+,B3-,[22.68542498],[0.33333333 0.66666667]
S4+,C1-,[22.67440988],[0.2 0.8]
Po2+,S1-,[22.66489309],[0.33333333 0.66666667]
Lu3+,F1-,[22.66172173],[0.25 0.75]
Xe2+,N1-,[22.65997218],[0.33333333 0.66666667]
Te2+,F1-,[22.61880298],[0.33333333 0.66666667]
Br5+,N3-,[22.56985039],[0.375 0.625]
Li1+,P2-,[22.52216231],[0.66666667 0.33333333]
Sc3+,F1-,[22.41534841],[0.25 0.75]
Br7+,N1-,[22.37340175],[0.125 0.875]
Ag1+,Te2-,[22.34306445],[0.66666667 0.33333333]
I7+,N1-,[22.34180742],[0.125 0.875]
Tm3+,F1-,[22.33641605],[0.25 0.75]
Po2+,F1-,[22.31953781],[0.33333333 0.66666667]
In3+,F1-,[22.29817959],[0.25 0.75]
